hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
City Hotel,0,30,2017,January,1,5,1,3,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,No Deposit,7.0,,0,Transient,54.71,0,1
City Hotel,1,184,2016,November,48,24,0,3,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,69.9,0,0
Resort Hotel,0,14,2016,October,42,11,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,No Deposit,240.0,,0,Transient,60.0,0,2
City Hotel,0,91,2017,April,14,2,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,117.0,0,4
Resort Hotel,1,120,2017,June,23,6,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,No Deposit,241.0,,0,Transient,115.5,0,0
City Hotel,0,5,2016,December,50,5,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,No Deposit,,219.0,0,Transient,88.0,1,1
City Hotel,1,139,2017,June,25,21,0,3,3,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,E,No Deposit,9.0,,0,Transient,196.2,0,2
City Hotel,0,263,2017,June,25,23,2,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,37.0,,0,Transient-Party,90.0,0,1
Resort Hotel,0,71,2016,March,12,17,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,No Deposit,240.0,,0,Transient,61.4,0,2
City Hotel,1,316,2017,April,17,27,0,3,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,104.4,0,0
Resort Hotel,0,322,2016,June,26,22,0,3,1,0.0,0,HB,POL,Groups,Direct,0,0,0,A,No Deposit,,,75,Transient-Party,76.0,0,0
City Hotel,0,12,2015,September,36,1,0,3,2,1.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,13.0,,0,Contract,98.5,0,1
City Hotel,0,140,2015,November,47,18,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,29.0,,87,Transient-Party,75.0,0,0
Resort Hotel,1,112,2016,February,7,12,0,2,2,0.0,0,FB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,134.0,,0,Transient-Party,68.0,0,0
Resort Hotel,1,94,2017,February,6,7,2,5,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,No Deposit,240.0,,0,Transient,84.57,0,1
City Hotel,1,315,2016,September,40,30,1,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,Non Refund,31.0,,69,Transient,160.0,0,0
City Hotel,1,219,2017,August,34,25,2,2,2,2.0,0,BB,ITA,Online TA,TA/TO,0,0,0,F,No Deposit,9.0,,0,Transient,198.0,0,0
City Hotel,1,41,2017,January,3,16,1,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,138.0,,0,Transient,68.0,0,0
Resort Hotel,0,25,2016,April,15,6,0,2,3,1.0,0,BB,LUX,Online TA,TA/TO,0,0,0,H,No Deposit,240.0,,0,Transient,126.5,0,0
City Hotel,0,4,2016,June,24,11,2,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,G,No Deposit,14.0,,0,Transient,204.62,1,0
Resort Hotel,0,150,2017,April,15,9,2,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,No Deposit,240.0,,0,Transient,90.0,0,2
Resort Hotel,0,56,2016,May,19,5,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,243.0,,0,Contract,72.75,0,0
City Hotel,0,70,2017,August,31,4,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,150.0,0,1
City Hotel,1,90,2017,February,7,17,1,2,2,0.0,0,BB,AUS,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,102.6,0,0
City Hotel,0,15,2016,September,40,28,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,164.0,0,0
Resort Hotel,0,40,2017,January,3,16,1,2,1,0.0,0,Undefined,ESP,Groups,Direct,0,0,0,A,No Deposit,,,0,Transient-Party,55.0,0,0
City Hotel,1,302,2015,August,33,15,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,No Deposit,1.0,,0,Transient-Party,62.0,0,0
Resort Hotel,0,10,2015,July,30,24,0,2,2,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,No Deposit,250.0,,0,Transient,164.0,0,0
Resort Hotel,1,112,2016,February,7,12,0,2,2,0.0,0,FB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,134.0,,0,Transient-Party,68.0,0,0
City Hotel,1,223,2016,September,36,2,4,12,2,0.0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,89.73,0,1
City Hotel,0,23,2017,June,25,21,0,3,2,0.0,0,BB,CHE,Direct,Direct,0,0,0,A,No Deposit,14.0,,0,Transient,141.0,0,2
Resort Hotel,0,87,2015,August,34,16,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,40.0,,0,Contract,132.5,0,0
City Hotel,1,4,2016,August,34,20,0,1,2,0.0,0,BB,PRT,Online TA,Corporate,0,0,0,A,Non Refund,,47.0,0,Transient,121.6,0,0
City Hotel,1,12,2016,November,47,15,0,4,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,97.0,0,3
City Hotel,0,105,2016,March,13,20,2,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,97.12,1,0
Resort Hotel,0,53,2015,July,31,27,1,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,240.0,,0,Transient,154.6,1,0
City Hotel,0,147,2016,June,27,28,2,5,2,1.0,0,BB,ROU,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,106.25,0,2
City Hotel,0,0,2016,July,27,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,No Deposit,,,0,Transient,139.0,0,0
City Hotel,0,96,2017,July,27,7,0,2,2,0.0,0,SC,RUS,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,120.0,0,1
City Hotel,0,2,2016,August,32,1,1,0,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,109.0,0,0
City Hotel,1,33,2017,June,23,10,1,1,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,85.0,,0,Transient,160.0,0,0
Resort Hotel,0,161,2016,June,25,15,2,4,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,E,No Deposit,240.0,,0,Transient,116.5,1,3
City Hotel,0,310,2017,April,17,23,2,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,21.0,,0,Transient-Party,83.75,0,1
City Hotel,0,159,2016,April,15,9,1,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,3.0,,0,Transient-Party,70.0,0,1
City Hotel,1,304,2015,August,34,17,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,Non Refund,1.0,,0,Transient-Party,62.0,0,0
City Hotel,0,129,2016,May,22,22,4,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,114.75,0,3
City Hotel,1,11,2016,November,47,13,2,5,1,0.0,0,BB,SAU,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,97.0,0,0
Resort Hotel,0,142,2016,December,52,24,2,5,2,1.0,0,HB,CHN,Online TA,TA/TO,0,0,0,G,No Deposit,240.0,,0,Transient-Party,140.43,0,3
City Hotel,0,91,2017,July,30,23,2,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,125.0,0,0
City Hotel,0,6,2017,June,23,4,1,0,1,0.0,0,SC,PRT,Complementary,Direct,0,0,0,A,No Deposit,394.0,,0,Transient,0.0,0,1
City Hotel,0,186,2016,November,45,3,0,1,3,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,123.3,0,0
City Hotel,0,168,2017,May,20,14,2,1,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,108.0,0,0
City Hotel,1,51,2016,November,47,15,1,5,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,88.4,0,0
Resort Hotel,1,310,2016,September,40,25,4,10,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,75.0,,0,Contract,76.5,0,0
City Hotel,0,110,2015,December,50,9,0,4,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,56.0,,69,Transient-Party,70.0,0,0
City Hotel,0,10,2017,February,8,19,2,2,2,0.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,28.0,,0,Transient,80.0,0,0
City Hotel,1,247,2016,October,44,28,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,37.0,,0,Transient,110.0,0,0
City Hotel,0,21,2015,September,36,5,2,1,1,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,95.0,0,0
Resort Hotel,0,65,2016,August,34,17,1,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,No Deposit,241.0,,0,Transient,171.17,0,1
Resort Hotel,1,80,2017,April,16,17,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,No Deposit,240.0,,0,Transient,75.0,0,0
City Hotel,0,100,2016,June,27,27,1,4,2,0.0,0,BB,BEL,Direct,Direct,0,0,0,D,No Deposit,14.0,,0,Transient,134.4,1,0
City Hotel,1,93,2017,June,25,22,2,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,132.0,,0,Transient-Party,99.0,0,0
Resort Hotel,0,26,2017,July,31,31,2,5,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,No Deposit,242.0,,0,Transient,270.51,1,2
City Hotel,0,162,2015,September,38,17,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,3.0,,0,Transient-Party,35.0,0,0
Resort Hotel,0,8,2017,January,5,31,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,9,A,No Deposit,,380.0,0,Transient,35.0,0,0
City Hotel,1,97,2016,March,13,20,2,5,1,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,Non Refund,1.0,,9,Transient,79.43,0,0
City Hotel,1,32,2015,October,43,18,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,No Deposit,9.0,,0,Contract,96.3,0,2
City Hotel,0,76,2016,October,45,30,2,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,No Deposit,7.0,,0,Transient,71.05,0,1
City Hotel,1,198,2015,December,49,5,2,1,2,0.0,0,HB,ESP,Groups,TA/TO,0,0,0,A,Non Refund,1.0,,0,Transient,90.0,0,0
City Hotel,1,58,2016,January,5,27,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,No Deposit,87.0,,0,Transient-Party,80.0,0,0
City Hotel,1,54,2017,April,14,5,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,,,0,Transient,110.0,0,0
Resort Hotel,0,0,2016,January,5,30,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,No Deposit,241.0,,0,Transient,44.66,0,0
Resort Hotel,0,1,2017,January,1,2,1,0,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,No Deposit,240.0,,0,Transient,48.0,0,1
Resort Hotel,1,161,2016,October,43,17,1,1,1,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,No Deposit,240.0,,0,Transient,49.0,0,0
City Hotel,0,128,2016,May,22,27,0,2,2,2.0,0,BB,DEU,Online TA,TA/TO,0,0,0,F,No Deposit,9.0,,0,Transient,207.9,0,2
Resort Hotel,0,226,2016,September,37,4,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,40.0,,0,Contract,96.0,0,0
Resort Hotel,1,30,2015,September,36,5,0,1,2,0.0,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,149.0,,0,Transient,143.5,0,0
City Hotel,0,45,2016,November,46,7,1,2,2,0.0,0,BB,EST,Online TA,TA/TO,0,0,0,A,No Deposit,83.0,,0,Transient,147.6,0,0
City Hotel,1,412,2016,August,35,25,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,1.0,,0,Transient,62.0,0,0
City Hotel,0,0,2015,September,37,8,0,1,1,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,13.0,,0,Contract,91.2,0,0
Resort Hotel,0,7,2017,March,9,2,1,3,2,0.0,0,BB,BEL,Groups,Corporate,0,0,0,A,No Deposit,,223.0,0,Transient-Party,37.0,0,0
City Hotel,1,213,2017,June,26,26,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,323.0,,0,Transient,115.0,0,0
City Hotel,0,60,2015,October,41,6,2,7,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Contract,89.25,0,3
City Hotel,1,87,2017,April,15,15,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,1.0,,0,Transient,95.0,0,0
Resort Hotel,0,10,2015,October,44,27,0,2,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,196.0,,0,Transient-Party,72.5,0,2
City Hotel,0,27,2015,September,39,20,3,5,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,No Deposit,14.0,,0,Transient,152.5,0,0
Resort Hotel,1,4,2017,June,23,6,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,No Deposit,250.0,,0,Transient,151.0,0,0
Resort Hotel,1,213,2016,October,44,26,2,5,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,D,No Deposit,240.0,,0,Transient,79.84,0,0
Resort Hotel,0,115,2016,November,47,17,1,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,No Deposit,240.0,,0,Transient,37.8,0,2
City Hotel,1,33,2015,December,50,9,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,Non Refund,44.0,,0,Transient,110.0,0,0
Resort Hotel,0,125,2017,August,34,20,2,4,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,No Deposit,240.0,,0,Transient,276.0,1,2
City Hotel,0,345,2017,February,8,25,2,1,3,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,No Deposit,7.0,,0,Transient,90.2,0,1
City Hotel,1,372,2016,July,29,14,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,1.0,,0,Transient,62.0,0,0
City Hotel,0,133,2017,April,14,8,1,1,2,0.0,0,BB,ARG,Online TA,TA/TO,0,0,0,A,No Deposit,7.0,,0,Transient,85.59,0,0
City Hotel,1,323,2016,May,21,17,0,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,3.0,,0,Transient-Party,70.0,0,0
City Hotel,0,21,2015,October,43,20,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Contract,126.0,0,2
City Hotel,0,156,2016,August,35,21,2,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,103.5,1,0
City Hotel,0,457,2017,August,34,25,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,6.0,,0,Transient-Party,122.4,0,1
City Hotel,0,260,2017,March,13,30,2,4,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,90.93,0,1
City Hotel,0,0,2017,March,10,7,0,5,1,0.0,0,BB,USA,Direct,Direct,0,0,0,D,No Deposit,,,0,Transient,90.0,0,0
Resort Hotel,0,10,2016,April,15,9,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,No Deposit,250.0,,0,Transient,75.0,1,0
Resort Hotel,0,14,2015,December,50,11,1,2,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,6.0,,0,Transient,55.4,1,0
Resort Hotel,1,15,2017,July,30,25,0,5,2,1.0,0,BB,PRT,Direct,Direct,0,0,0,E,No Deposit,250.0,,0,Transient,255.0,0,0
City Hotel,0,72,2015,September,37,11,0,2,1,0.0,0,HB,LUX,Groups,TA/TO,0,0,0,A,No Deposit,30.0,,0,Transient-Party,98.0,0,0
City Hotel,0,13,2016,October,42,9,2,1,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,177.62,0,1
Resort Hotel,0,208,2015,September,37,12,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,143.0,,0,Contract,84.58,0,1
City Hotel,0,23,2016,February,7,13,0,1,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,91.0,0,1
City Hotel,0,56,2016,May,23,30,1,0,1,0.0,0,BB,DEU,Groups,TA/TO,0,0,0,A,No Deposit,,,0,Transient-Party,120.0,0,0
City Hotel,0,21,2017,June,22,1,2,3,1,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,89.0,,0,Transient,108.8,0,0
City Hotel,0,179,2016,October,40,1,2,1,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,108.9,0,1
City Hotel,1,69,2016,June,25,12,2,4,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,Non Refund,236.0,,0,Transient,120.0,0,0
Resort Hotel,0,274,2017,March,10,10,1,2,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,240.0,,0,Transient,37.8,0,2
Resort Hotel,1,49,2015,December,53,31,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,5.0,,0,Transient,145.87,0,1
City Hotel,1,40,2016,December,53,30,2,2,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,185.28,0,0
City Hotel,1,50,2016,June,27,29,0,3,3,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,150.3,0,0
City Hotel,0,2,2016,August,34,15,1,2,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,169.33,0,0
City Hotel,1,117,2016,February,10,29,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,Non Refund,19.0,,44,Transient,75.0,0,0
City Hotel,0,422,2016,September,38,16,0,2,2,0.0,0,HB,FRA,Groups,TA/TO,0,0,0,A,No Deposit,1.0,,379,Transient-Party,90.0,0,1
City Hotel,0,103,2016,May,19,4,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,154.0,,0,Transient-Party,80.0,0,0
Resort Hotel,0,34,2015,November,45,1,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,156.0,,0,Transient,31.63,0,2
City Hotel,0,377,2016,October,42,14,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,6.0,,0,Transient-Party,115.0,0,1
City Hotel,1,1,2016,February,10,28,2,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,134.0,,0,Transient-Party,60.0,0,0
City Hotel,0,1,2015,December,53,29,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,No Deposit,148.0,,0,Transient,79.0,0,0
Resort Hotel,0,73,2017,February,7,17,1,2,2,0.0,0,BB,FRA,Corporate,Corporate,0,0,0,A,No Deposit,,498.0,0,Transient-Party,40.0,0,0
City Hotel,1,626,2016,November,46,7,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,1.0,,0,Transient,62.8,0,0
Resort Hotel,0,74,2015,August,36,30,2,3,3,0.0,0,BB,IRL,Direct,Direct,0,0,0,E,No Deposit,,,0,Transient-Party,161.8,0,3
City Hotel,0,0,2017,August,32,9,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,No Deposit,,,0,Transient,140.0,0,0
City Hotel,1,81,2016,March,13,24,1,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,99.45,0,1
City Hotel,1,207,2017,July,27,8,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,28.0,,0,Transient,80.1,0,0
City Hotel,0,1,2016,August,34,20,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,No Deposit,,,0,Transient,79.0,0,1
City Hotel,0,210,2016,August,34,17,0,3,2,1.0,1,BB,DEU,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,108.3,0,3
Resort Hotel,1,94,2017,June,24,17,0,1,2,0.0,0,HB,GBR,Direct,Direct,0,0,0,A,No Deposit,250.0,,0,Transient,135.5,0,0
City Hotel,0,14,2015,December,49,2,0,1,1,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,A,No Deposit,,91.0,0,Transient,79.0,0,0
City Hotel,1,277,2016,November,46,7,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,,,0,Transient,100.0,0,0
Resort Hotel,1,67,2016,August,35,21,4,6,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,C,No Deposit,250.0,,0,Transient,197.1,0,0
City Hotel,0,35,2016,February,9,26,1,2,2,0.0,0,BB,DEU,Direct,Direct,0,0,0,D,No Deposit,,,0,Transient,86.9,0,1
Resort Hotel,0,0,2016,January,5,27,0,1,1,0.0,0,BB,,Corporate,Corporate,0,0,0,A,No Deposit,,178.0,0,Transient,25.0,0,0
Resort Hotel,1,40,2017,January,3,16,1,2,1,0.0,0,Undefined,PRT,Groups,Direct,0,0,0,A,No Deposit,,,0,Transient-Party,55.0,0,0
City Hotel,1,144,2016,September,39,22,1,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,118.8,0,0
Resort Hotel,0,30,2017,August,35,29,0,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,No Deposit,240.0,,0,Transient,196.5,1,2
Resort Hotel,0,152,2016,May,19,2,1,2,2,0.0,0,BB,ARG,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,336.0,,0,Transient,47.4,1,1
City Hotel,1,350,2016,June,25,17,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,29.0,,0,Transient,140.0,0,0
City Hotel,1,54,2017,January,3,18,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,Non Refund,171.0,,0,Transient,65.0,0,0
Resort Hotel,0,94,2016,April,18,30,2,5,2,0.0,0,BB,SWE,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,253.0,,0,Transient,49.5,0,0
Resort Hotel,1,71,2015,August,35,25,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,240.0,,0,Transient,154.0,0,0
City Hotel,0,40,2017,June,24,11,2,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,No Deposit,9.0,,0,Transient,231.5,0,0
City Hotel,0,134,2016,August,32,4,0,2,2,1.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,130.5,1,2
City Hotel,1,118,2016,June,24,6,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,No Deposit,37.0,,0,Transient-Party,120.0,0,0
City Hotel,0,36,2016,March,10,2,0,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,117.3,0,1
City Hotel,0,75,2016,November,45,2,1,4,2,0.0,0,SC,SRB,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,79.2,0,2
City Hotel,1,182,2016,April,18,27,0,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,Non Refund,3.0,,50,Transient,75.0,0,0
City Hotel,1,160,2015,December,53,30,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,3.0,,111,Transient-Party,70.0,0,0
Resort Hotel,1,12,2015,September,37,6,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,C,No Deposit,242.0,,0,Transient,123.0,0,1
City Hotel,1,89,2015,August,33,11,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,76.5,0,0
City Hotel,1,102,2017,June,26,29,1,3,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,9.0,,0,Transient,144.0,0,0
Resort Hotel,0,30,2016,March,11,7,2,5,2,0.0,0,SC,ESP,Groups,TA/TO,0,0,0,A,No Deposit,38.0,,0,Transient-Party,33.71,0,0
Resort Hotel,0,338,2016,September,39,23,2,5,2,0.0,0,HB,EST,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,171.0,,0,Transient,85.6,0,0
City Hotel,0,127,2017,August,31,1,2,5,2,0.0,0,SC,BRA,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,138.0,,0,Transient,71.1,0,0
City Hotel,0,12,2016,February,7,13,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,No Deposit,14.0,,0,Transient,125.0,0,1
City Hotel,1,87,2017,April,15,15,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,Non Refund,1.0,,0,Transient,95.0,0,0
City Hotel,1,123,2017,April,15,15,1,1,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,No Deposit,9.0,,0,Transient,171.0,0,2
Resort Hotel,0,45,2016,November,48,20,2,2,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,No Deposit,242.0,,0,Transient,37.8,0,1
Resort Hotel,0,5,2016,May,20,9,1,3,1,0.0,0,BB,,Corporate,Corporate,0,0,1,A,No Deposit,,282.0,0,Transient,45.0,0,0
City Hotel,0,12,2016,October,42,12,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,3,18,A,No Deposit,,40.0,0,Transient,67.0,1,0
City Hotel,0,8,2015,December,51,19,1,1,2,0.0,0,BB,CN,Direct,Direct,0,0,0,D,No Deposit,14.0,,0,Transient,91.0,0,0
